original_string,fuel,sector
all_fuels_domestic,all_fuels,domestic
all_fuels_industrial_commercial_and_other,all_fuels,industrial_commercial_and_other
all_fuels_total,all_fuels,total
all_fuels_transport,all_fuels,transport
bioenergy_and_wastes_domestic,bioenergy_and_wastes,domestic
bioenergy_and_wastes_industrial_and_commercial,bioenergy_and_wastes,industrial_and_commercial
bioenergy_and_wastes_road_transport,bioenergy_and_wastes,road_transport
bioenergy_and_wastes_total,bioenergy_and_wastes,total
coal_agriculture,coal,agriculture
coal_commercial,coal,commercial
coal_domestic,coal,domestic
coal_industrial,coal,industrial
coal_public_sector,coal,public_sector
coal_rail,coal,rail
coal_total,coal,total
electricity_domestic,electricity,domestic
electricity_industrial_commercial_and_other,electricity,industrial_commercial_and_other
electricity_total,electricity,total
gas_domestic,gas,domestic
gas_industrial_commercial_and_other,gas,industrial_commercial_and_other
gas_total,gas,total
manufactured_fuels_domestic,manufactured_fuels,domestic
manufactured_fuels_industrial,manufactured_fuels,industrial
manufactured_fuels_total,manufactured_fuels,total
petroleum_agriculture,petroleum,agriculture
petroleum_commercial,petroleum,commercial
petroleum_domestic,petroleum,domestic
petroleum_industrial,petroleum,industrial
petroleum_public_sector,petroleum,public_sector
petroleum_rail,petroleum,rail
petroleum_road_transport,petroleum,road_transport
petroleum_total,petroleum,total
